date_time,drink_type
2022-08-26 14:55:56.425000+00:00,Beer
2022-09-30 21:07:00+00:00,Beer
2022-07-30 00:44:12.425000+00:00,Beer
2022-07-03 11:17:22.803000+00:00,Beer
2022-06-29 18:04:50.213000+00:00,Beer
2022-09-02 12:12:46.661000+00:00,Beer
2022-10-15 13:38:00+00:00,Beer
2022-09-24 16:47:00+00:00,Beer
2022-07-15 14:59:31.242000+00:00,Beer
2022-08-26 13:04:57.285000+00:00,Beer
2022-06-24 16:54:35.048000+00:00,Beer
2022-07-08 19:16:48.587000+00:00,Beer
2022-08-29 12:01:08.449000+00:00,Beer
2022-07-04 20:10:34.428000+00:00,Beer
2022-10-15 15:06:00+00:00,Beer
2022-07-01 17:50:38.262000+00:00,Beer
2022-07-29 19:52:21.372000+00:00,Beer
2022-08-19 16:26:49.215000+00:00,Beer
2022-07-19 16:14:14.173000+00:00,Beer
2022-11-05 14:20:00+00:00,Beer
2022-09-24 19:26:00+00:00,Beer
2022-06-21 17:30:13.184000+00:00,Beer
2022-10-12 18:40:00+00:00,Beer
2022-08-28 15:29:31.412000+00:00,Beer
2022-10-01 12:46:00+00:00,Beer
2022-07-23 16:02:38.937000+00:00,Beer
2022-07-02 12:23:23.298000+00:00,Beer
2022-08-06 13:31:51.533000+00:00,Beer
2022-11-12 16:05:00+00:00,Beer
2022-09-25 15:02:00+00:00,Beer
2022-07-30 00:44:00.012000+00:00,Beer
2022-07-29 22:29:05.728000+00:00,Beer
2022-09-10 19:16:14.450000+00:00,Beer
2022-08-26 10:57:25.673000+00:00,Beer
2022-08-19 18:37:57.316000+00:00,Beer
2022-10-28 13:42:00+00:00,Beer
2022-09-30 20:31:00+00:00,Beer
2022-08-19 19:03:39.678000+00:00,Beer
2022-07-05 20:15:29.905000+00:00,Beer
2022-07-03 11:17:09.229000+00:00,Beer
2022-09-24 14:38:00+00:00,Beer
2022-10-12 17:14:00+00:00,Beer
2022-09-29 20:48:00+00:00,Beer
2022-09-10 18:36:26.579000+00:00,Beer
2022-06-23 16:56:08.978000+00:00,Beer
2022-09-10 16:51:17.925000+00:00,Beer
2022-07-05 18:56:00.645000+00:00,Beer
2022-10-26 14:04:00+00:00,Beer
2022-08-09 17:21:26.914000+00:00,Beer
2022-10-01 13:49:00+00:00,Beer
2022-07-08 20:11:18.800000+00:00,Beer
2022-07-05 18:47:08.451000+00:00,Beer
2022-10-08 14:14:00+00:00,Beer
2022-09-17 12:20:01.925000+00:00,Beer
2022-11-26 14:17:00+00:00,Beer
2022-09-16 17:03:25.449000+00:00,Beer
2022-07-07 20:10:29.271000+00:00,Beer
2022-07-05 17:51:39.693000+00:00,Beer
2022-11-22 22:26:00+00:00,Wine
2022-10-29 19:32:00+00:00,Wine
2022-12-01 20:35:00+00:00,Wine
2022-11-11 20:50:00+00:00,Wine
2022-08-05 20:17:45.560000+00:00,Wine
2022-07-03 12:22:22.845000+00:00,Wine
2022-11-30 18:51:00+00:00,Wine
2022-10-15 15:32:00+00:00,Wine
2022-10-21 20:34:00+00:00,Wine
2022-08-19 21:52:33.993000+00:00,Wine
2022-08-03 19:53:12.801000+00:00,Wine
2022-09-17 14:11:30.071000+00:00,Wine
2022-10-01 14:15:00+00:00,Wine
2022-10-01 14:48:00+00:00,Wine
2022-11-19 18:27:00+00:00,Wine
2022-11-12 15:13:00+00:00,Wine
2022-11-20 14:18:00+00:00,Wine
2022-11-11 19:53:00+00:00,Wine
2022-07-02 17:46:40+00:00,Wine
2022-09-29 21:25:00+00:00,Liqueur
2022-07-20 18:46:41.077000+00:00,Red Wine
2022-06-18 19:12:15.714000+00:00,Red Wine
2022-06-19 10:24:00.577000+00:00,Red Wine
2022-06-18 20:50:55.479000+00:00,Red Wine
2022-07-06 17:45:28.700000+00:00,Red Wine
2022-06-17 19:56:01.392000+00:00,Red Wine
2022-07-06 17:09:09.663000+00:00,Red Wine
2022-07-23 14:49:01.038000+00:00,Champagne
2022-09-02 14:32:43.568000+00:00,Champagne
2022-07-16 16:49:33.690000+00:00,Gin and Tonic
2022-10-15 17:12:00+00:00,Gin and tonic
2021-09-24 19:18:02+00:00,alcoholic_drink_unspecified
2021-10-02 13:05:32+00:00,alcoholic_drink_unspecified
2021-11-14 20:45:33+00:00,alcoholic_drink_unspecified
2021-12-25 19:37:47+00:00,alcoholic_drink_unspecified
2022-01-19 17:46:08+00:00,alcoholic_drink_unspecified
2022-02-08 13:05:34+00:00,alcoholic_drink_unspecified
2022-02-20 18:50:50+00:00,alcoholic_drink_unspecified
2022-05-13 14:47:51+00:00,alcoholic_drink_unspecified
2021-07-01 19:30:16+00:00,alcoholic_drink_unspecified
2021-07-31 12:34:44+00:00,alcoholic_drink_unspecified
2021-09-03 12:02:23+00:00,alcoholic_drink_unspecified
2021-10-13 15:43:52+00:00,alcoholic_drink_unspecified
2022-01-08 12:12:05+00:00,alcoholic_drink_unspecified
2022-05-13 14:25:08+00:00,alcoholic_drink_unspecified
2022-06-03 18:18:39+00:00,alcoholic_drink_unspecified
2021-07-06 18:34:48+00:00,alcoholic_drink_unspecified
2021-07-23 12:19:41+00:00,alcoholic_drink_unspecified
2021-08-08 14:20:43+00:00,alcoholic_drink_unspecified
2021-09-15 19:33:22+00:00,alcoholic_drink_unspecified
2021-11-16 20:01:40+00:00,alcoholic_drink_unspecified
2021-12-24 21:23:31+00:00,alcoholic_drink_unspecified
2021-12-29 12:12:40+00:00,alcoholic_drink_unspecified
2022-01-09 13:17:35+00:00,alcoholic_drink_unspecified
2022-02-26 19:06:53+00:00,alcoholic_drink_unspecified
2021-09-01 15:41:21+00:00,alcoholic_drink_unspecified
2021-07-30 18:35:12+00:00,alcoholic_drink_unspecified
2021-10-11 20:26:06+00:00,alcoholic_drink_unspecified
2021-11-19 14:16:30+00:00,alcoholic_drink_unspecified
2021-11-24 19:29:46+00:00,alcoholic_drink_unspecified
2021-12-31 19:34:21+00:00,alcoholic_drink_unspecified
2022-05-07 15:49:27+00:00,alcoholic_drink_unspecified
2021-05-17 19:33:35+00:00,alcoholic_drink_unspecified
2021-06-03 19:45:07+00:00,alcoholic_drink_unspecified
2022-05-10 21:15:56+00:00,alcoholic_drink_unspecified
2021-06-04 21:34:20+00:00,alcoholic_drink_unspecified
2021-09-02 15:24:19+00:00,alcoholic_drink_unspecified
2021-09-02 21:30:00+00:00,alcoholic_drink_unspecified
2021-10-30 18:37:15+00:00,alcoholic_drink_unspecified
2021-11-25 13:38:09+00:00,alcoholic_drink_unspecified
2021-11-28 13:29:08+00:00,alcoholic_drink_unspecified
2022-01-06 14:19:44+00:00,alcoholic_drink_unspecified
2022-01-29 17:42:07+00:00,alcoholic_drink_unspecified
2022-02-27 18:30:00+00:00,alcoholic_drink_unspecified
2022-03-11 19:36:42+00:00,alcoholic_drink_unspecified
2022-04-01 19:41:27+00:00,alcoholic_drink_unspecified
2022-05-14 09:40:17+00:00,alcoholic_drink_unspecified
2021-08-03 17:31:11+00:00,alcoholic_drink_unspecified
2021-12-14 19:12:50+00:00,alcoholic_drink_unspecified
2021-12-29 12:28:35+00:00,alcoholic_drink_unspecified
2022-02-09 18:42:50+00:00,alcoholic_drink_unspecified
2022-05-11 16:13:16+00:00,alcoholic_drink_unspecified
2021-06-19 18:36:16+00:00,alcoholic_drink_unspecified
2021-07-08 18:53:21+00:00,alcoholic_drink_unspecified
2021-12-24 18:46:25+00:00,alcoholic_drink_unspecified
2022-01-22 12:19:48+00:00,alcoholic_drink_unspecified
2021-09-01 17:44:53+00:00,alcoholic_drink_unspecified
2021-10-01 19:57:33+00:00,alcoholic_drink_unspecified
2021-10-02 13:37:17+00:00,alcoholic_drink_unspecified
2021-10-15 18:36:00+00:00,alcoholic_drink_unspecified
2021-10-17 16:33:59+00:00,alcoholic_drink_unspecified
2022-02-18 16:27:50+00:00,alcoholic_drink_unspecified
2022-02-20 19:10:28+00:00,alcoholic_drink_unspecified
2021-06-09 19:36:26+00:00,alcoholic_drink_unspecified
2021-06-18 22:23:45+00:00,alcoholic_drink_unspecified
2021-07-08 19:23:40+00:00,alcoholic_drink_unspecified
2021-07-10 12:52:54+00:00,alcoholic_drink_unspecified
2021-08-18 19:01:09+00:00,alcoholic_drink_unspecified
2022-02-02 12:28:46+00:00,alcoholic_drink_unspecified
2021-09-02 22:00:00+00:00,alcoholic_drink_unspecified
2021-09-28 12:15:20+00:00,alcoholic_drink_unspecified
2021-10-31 17:56:19+00:00,alcoholic_drink_unspecified
2021-11-22 19:48:08+00:00,alcoholic_drink_unspecified
2022-04-10 16:52:53+00:00,alcoholic_drink_unspecified
2022-05-14 16:54:52+00:00,alcoholic_drink_unspecified
2022-05-28 20:55:34+00:00,alcoholic_drink_unspecified
2021-06-29 19:10:40+00:00,alcoholic_drink_unspecified
2021-07-07 12:34:42+00:00,alcoholic_drink_unspecified
2021-10-24 12:42:30+00:00,alcoholic_drink_unspecified
2021-11-01 18:30:22+00:00,alcoholic_drink_unspecified
2021-11-27 17:32:27+00:00,alcoholic_drink_unspecified
2022-01-01 14:54:49+00:00,alcoholic_drink_unspecified
2022-01-08 12:56:46+00:00,alcoholic_drink_unspecified
2022-01-18 15:46:41+00:00,alcoholic_drink_unspecified
2022-01-19 18:27:46+00:00,alcoholic_drink_unspecified
2022-02-11 18:45:30+00:00,alcoholic_drink_unspecified
2022-03-11 19:09:27+00:00,alcoholic_drink_unspecified
2022-06-09 20:29:41+00:00,alcoholic_drink_unspecified
2021-05-22 17:34:05+00:00,alcoholic_drink_unspecified
2021-08-13 20:00:15+00:00,alcoholic_drink_unspecified
2022-01-30 15:53:04+00:00,alcoholic_drink_unspecified
2021-06-22 19:22:26+00:00,alcoholic_drink_unspecified
2021-07-23 20:05:32+00:00,alcoholic_drink_unspecified
2021-07-30 13:18:15+00:00,alcoholic_drink_unspecified
2021-08-13 19:17:00+00:00,alcoholic_drink_unspecified
2021-09-16 18:19:54+00:00,alcoholic_drink_unspecified
2022-01-29 16:55:45+00:00,alcoholic_drink_unspecified
2022-04-05 16:59:35+00:00,alcoholic_drink_unspecified
2022-04-16 19:30:32+00:00,alcoholic_drink_unspecified
2022-05-10 21:16:13+00:00,alcoholic_drink_unspecified
2021-07-21 18:46:10+00:00,alcoholic_drink_unspecified
2021-09-18 18:56:20+00:00,alcoholic_drink_unspecified
2021-11-21 14:40:16+00:00,alcoholic_drink_unspecified
2021-12-31 20:34:25+00:00,alcoholic_drink_unspecified
2022-01-31 20:27:12+00:00,alcoholic_drink_unspecified
2022-04-01 18:58:30+00:00,alcoholic_drink_unspecified
2021-06-24 19:13:35+00:00,alcoholic_drink_unspecified
2021-07-31 12:22:20+00:00,alcoholic_drink_unspecified
2021-08-04 19:45:27+00:00,alcoholic_drink_unspecified
2021-09-18 18:56:12+00:00,alcoholic_drink_unspecified
2022-03-31 12:45:32+00:00,alcoholic_drink_unspecified
2022-04-30 18:31:44+00:00,alcoholic_drink_unspecified
2021-08-24 20:13:28+00:00,alcoholic_drink_unspecified
2021-09-18 12:58:28+00:00,alcoholic_drink_unspecified
2022-02-10 17:43:18+00:00,alcoholic_drink_unspecified
2022-02-26 17:37:45+00:00,alcoholic_drink_unspecified
2022-05-28 15:52:00+00:00,alcoholic_drink_unspecified
2021-05-24 19:40:22+00:00,alcoholic_drink_unspecified
2021-06-08 19:27:29+00:00,alcoholic_drink_unspecified
2021-09-16 19:28:44+00:00,alcoholic_drink_unspecified
2021-12-24 19:58:30+00:00,alcoholic_drink_unspecified
2022-02-08 15:10:48+00:00,alcoholic_drink_unspecified
2022-02-11 19:59:22+00:00,alcoholic_drink_unspecified
2022-04-29 18:43:29+00:00,alcoholic_drink_unspecified
2022-05-21 17:37:52+00:00,alcoholic_drink_unspecified
2021-07-20 17:45:38+00:00,alcoholic_drink_unspecified
2021-08-18 20:40:45+00:00,alcoholic_drink_unspecified
2021-10-30 18:25:28+00:00,alcoholic_drink_unspecified
2021-11-18 16:41:55+00:00,alcoholic_drink_unspecified
2021-12-29 15:04:14+00:00,alcoholic_drink_unspecified
2022-01-15 19:02:49+00:00,alcoholic_drink_unspecified
2022-05-19 16:17:07+00:00,alcoholic_drink_unspecified
2022-06-11 18:50:24+00:00,alcoholic_drink_unspecified
2021-05-14 19:32:41+00:00,alcoholic_drink_unspecified
2021-06-19 19:49:13+00:00,alcoholic_drink_unspecified
2021-06-29 19:21:45+00:00,alcoholic_drink_unspecified
2021-09-18 14:36:50+00:00,alcoholic_drink_unspecified
2022-01-26 15:30:40+00:00,alcoholic_drink_unspecified
2021-06-04 14:50:03+00:00,alcoholic_drink_unspecified
2021-09-23 19:04:13+00:00,alcoholic_drink_unspecified
2021-09-25 13:39:18+00:00,alcoholic_drink_unspecified
2021-11-01 17:50:14+00:00,alcoholic_drink_unspecified
2021-11-23 16:59:05+00:00,alcoholic_drink_unspecified
2021-12-20 18:02:24+00:00,alcoholic_drink_unspecified
2021-12-24 18:14:21+00:00,alcoholic_drink_unspecified
2021-12-25 17:58:02+00:00,alcoholic_drink_unspecified
2022-02-05 16:54:55+00:00,alcoholic_drink_unspecified
2022-02-24 19:28:46+00:00,alcoholic_drink_unspecified
2022-03-26 18:14:01+00:00,alcoholic_drink_unspecified
2022-05-11 15:53:06+00:00,alcoholic_drink_unspecified
2022-06-15 19:48:55+00:00,alcoholic_drink_unspecified
2021-06-12 14:29:10+00:00,alcoholic_drink_unspecified
2021-08-13 19:42:49+00:00,alcoholic_drink_unspecified
2021-08-24 19:44:40+00:00,alcoholic_drink_unspecified
2021-09-02 17:47:28+00:00,alcoholic_drink_unspecified
2021-12-29 13:12:55+00:00,alcoholic_drink_unspecified
2022-01-23 13:59:06+00:00,alcoholic_drink_unspecified
2022-02-05 12:59:25+00:00,alcoholic_drink_unspecified
2022-02-18 17:07:53+00:00,alcoholic_drink_unspecified
2021-06-08 17:55:56+00:00,alcoholic_drink_unspecified
2021-06-16 18:23:04+00:00,alcoholic_drink_unspecified
2021-09-09 15:44:59+00:00,alcoholic_drink_unspecified
2021-09-09 17:11:45+00:00,alcoholic_drink_unspecified
2021-11-10 17:31:09+00:00,alcoholic_drink_unspecified
2022-02-08 11:54:01+00:00,alcoholic_drink_unspecified
